% Supporting datasets from Abatzoglou and Williams, Impact of anthropogenic climate change on wildfire across western US forests, PNAS201607171
1980, NaN, -0.44, 0.04, -0.21, 0.09, -0.38, -0.48, 0.04, -0.61, -0.25,  2.9, 18.8, 10.0, 23.4,  2.5,  3.4, 16.5,  6.5, 10.5, 112.1, 113.4, 111.4, 96.4, 108.3, 21.4, 23.3, 21.4, 13.8, 20.0, -0.50, -0.02, -0.22, -0.06, -0.61, -0.59, -0.05, -0.75, -0.35,  2.5, 18.2, 10.2, 19.6,  1.6,  3.0, 14.8,  5.7,  9.5, 106.6, 107.7, 109.5, 96.3, 105.0, 19.6, 21.0, 20.8, 13.7, 18.7, 
1981, NaN, -0.52, 0.24, -0.22, 0.35, 0.14, -0.36, 0.32, 0.04, -0.00,  4.9, 14.4,  2.6, 17.9, 11.4,  1.0, 24.4, 11.9, 11.1, 110.9, 114.8, 109.7, 89.9, 106.3, 26.9, 27.3, 24.1, 18.8, 24.3, -0.59, 0.18, -0.24, 0.19, -0.11, -0.48, 0.22, -0.14, -0.12,  3.8, 12.5,  2.4, 12.4,  6.6,  0.6, 20.7,  8.1,  8.4, 104.7, 109.1, 107.2, 89.8, 102.7, 25.1, 24.6, 23.2, 18.3, 22.8, 
1982, NaN, -1.00, -0.64, -0.41, -0.48, -1.11, -1.24, -0.54, -1.42, -0.85,  1.6,  0.5,  1.0,  0.6,  0.3,  0.4,  1.0,  0.3,  0.7, 61.1, 74.9, 65.8, 78.1, 70.0,  8.3, 12.0,  9.5,  6.9,  9.2, -1.08, -0.72, -0.45, -0.62, -1.38, -1.35, -0.64, -1.58, -0.98,  1.4,  0.3,  0.9,  0.3,  0.1,  0.3,  0.6,  0.2,  0.5, 56.0, 69.5, 62.6, 77.5, 66.4,  7.1, 10.6,  8.8,  6.4,  8.2, 
1983, NaN, -1.98, -0.98, -0.97, -0.84, -1.44, -1.71, -0.84, -1.84, -1.33,  0.5,  0.6,  0.1,  0.4,  0.6,  0.1,  1.4,  0.6,  0.5, 46.9, 56.6, 48.5, 59.3, 52.8,  6.2,  7.4,  6.0,  1.4,  5.2, -2.07, -1.07, -1.00, -1.00, -1.73, -1.83, -0.93, -2.03, -1.46,  0.4,  0.4,  0.1,  0.3,  0.3,  0.1,  1.2,  0.3,  0.4, 43.1, 50.9, 45.9, 58.4, 49.6,  5.4,  6.0,  5.6,  1.2,  4.5, 
1984, 29286, -1.54, -0.36, -0.62, -0.30, -0.68, -1.12, -0.32, -0.89, -0.73,  1.6,  5.7,  1.6,  4.2,  5.4,  1.2,  5.1,  5.4,  3.8, 77.9, 90.3, 83.1, 77.4, 82.2, 13.9, 14.4, 13.3,  8.5, 12.5, -1.64, -0.46, -0.67, -0.47, -1.00, -1.26, -0.43, -1.11, -0.88,  1.2,  4.2,  1.5,  3.3,  3.1,  0.9,  3.7,  3.3,  2.7, 72.1, 82.9, 79.0, 76.4, 77.6, 12.1, 12.2, 12.2,  7.6, 11.0, 
1985, 105660, -0.08, 0.56, 0.35, 0.73, 0.43, -0.20, 0.30, 0.36, 0.31, 29.2, 25.8, 17.3, 31.5, 20.2,  6.9, 17.3, 20.5, 21.1, 110.9, 131.8, 114.6, 98.3, 113.9, 20.7, 30.1, 23.8, 22.3, 24.2, -0.19, 0.45, 0.31, 0.52, 0.09, -0.36, 0.18, 0.11, 0.14, 25.4, 20.6, 15.8, 25.9,  8.8,  4.4, 12.8, 12.0, 15.7, 103.7, 125.1, 110.9, 97.6, 109.3, 18.5, 26.6, 22.5, 21.6, 22.3, 
1986, 43963, -0.37, -0.05, -0.09, 0.06, -0.07, -0.58, 0.06, -0.48, -0.19,  5.6,  7.7,  4.0, 11.2,  3.0,  1.1, 15.4,  3.1,  6.4, 89.9, 105.2, 90.5, 84.1, 92.4, 17.9, 19.4, 16.7, 15.9, 17.5, -0.50, -0.17, -0.16, -0.15, -0.44, -0.74, -0.07, -0.76, -0.37,  3.9,  4.6,  2.9,  8.2,  0.4,  0.3, 11.8,  0.9,  4.1, 83.4, 96.8, 86.5, 83.3, 87.5, 15.8, 16.4, 15.4, 14.7, 15.6, 
1987, 283460, 0.28, 0.49, 0.27, 0.60, 0.84, 0.58, 0.10, 0.42, 0.45, 40.7, 31.2, 21.0, 35.3, 57.7, 46.2, 10.0, 36.8, 34.9, 120.3, 155.1, 135.2, 125.1, 133.9, 27.2, 29.9, 25.6, 23.1, 26.4, 0.14, 0.35, 0.23, 0.34, 0.46, 0.36, -0.05, 0.10, 0.24, 35.0, 23.4, 19.9, 26.3, 46.9, 42.4,  7.1, 24.2, 28.1, 108.0, 143.4, 129.0, 124.1, 126.1, 23.0, 25.8, 23.6, 21.3, 23.4, 
1988, 566430, 0.37, 0.79, 0.46, 0.96, 0.79, 0.59, 0.69, 0.84, 0.69, 40.7, 48.9, 35.4, 53.3, 42.3, 40.5, 43.5, 47.1, 44.0, 170.1, 154.3, 149.5, 124.1, 149.5, 35.2, 34.7, 32.5, 31.5, 33.5, 0.21, 0.63, 0.37, 0.68, 0.37, 0.37, 0.52, 0.48, 0.46, 38.5, 43.7, 33.6, 45.1, 28.7, 33.9, 38.3, 34.6, 37.1, 158.8, 142.8, 143.2, 122.7, 141.9, 31.9, 30.2, 30.4, 30.1, 30.6, 
1989, 95725, 0.38, 0.31, 0.18, 0.44, 0.68, 0.19, -0.11, 0.18, 0.28, 20.1, 22.2, 14.9, 25.0, 28.1, 19.4, 13.7, 19.6, 20.4, 83.5, 111.7, 105.7, 110.8, 102.9, 13.6, 23.8, 19.7, 15.6, 18.2, 0.24, 0.14, 0.10, 0.15, 0.22, -0.05, -0.28, -0.19, 0.04, 13.6, 18.7, 13.8, 15.5, 18.9, 14.9, 11.3, 12.3, 14.9, 74.1, 99.8, 98.0, 108.7, 95.1, 11.4, 19.8, 17.6, 14.2, 15.7, 
1990, 111140, -0.19, -0.02, -0.41, 0.16, 0.12, -0.31, -0.06, -0.26, -0.12, 11.0,  2.8,  0.0,  8.4,  4.9,  3.7,  6.5,  3.7,  5.1, 105.7, 107.5, 103.6, 89.2, 101.5, 17.2, 21.9, 18.2, 10.1, 16.9, -0.34, -0.20, -0.49, -0.13, -0.37, -0.55, -0.24, -0.69, -0.38,  6.3,  1.0,  0.0,  1.6,  0.3,  1.8,  3.2,  0.7,  1.9, 92.5, 95.6, 95.5, 87.0, 92.6, 14.0, 17.2, 15.5,  8.9, 13.9, 
1991, 24273, -0.62, -0.07, -0.30, 0.07, -0.83, -0.39, -0.14, -0.73, -0.38,  1.3,  2.8,  0.5,  5.2,  0.1,  3.0,  7.9,  2.9,  3.0, 115.1, 126.8, 121.0, 103.6, 116.6, 20.6, 23.6, 22.9, 15.8, 20.7, -0.78, -0.27, -0.39, -0.24, -1.34, -0.64, -0.33, -1.15, -0.64,  0.5,  0.8,  0.3,  1.0,  0.0,  1.1,  5.1,  0.7,  1.2, 100.5, 112.6, 111.3, 101.4, 106.4, 16.6, 19.0, 20.0, 13.3, 17.2, 
1992, 88406, 0.33, 0.26, 0.00, 0.41, 0.88, 0.02, -0.11, 0.06, 0.23, 48.4, 24.3, 14.8, 32.4, 52.4, 25.9,  9.5, 30.5, 29.8, 81.9, 118.4, 100.1, 103.2, 100.9, 12.5, 21.8, 17.7, 10.1, 15.5, 0.16, 0.04, -0.11, 0.09, 0.32, -0.27, -0.29, -0.42, -0.06, 43.7, 16.6, 12.5, 23.3, 37.6, 18.0,  5.7, 15.5, 21.6, 70.4, 102.6, 90.1, 100.8, 91.0,  9.3, 17.2, 14.9,  8.6, 12.5, 
1993, 32444, -1.26, -0.52, -0.86, -0.50, -0.88, -1.21, -0.39, -1.48, -0.89,  0.0,  5.6,  0.1,  4.8,  1.7,  0.5,  9.2,  0.7,  2.8, 74.4, 74.8, 74.8, 72.6, 74.1, 12.2, 12.7, 11.8,  7.7, 11.1, -1.42, -0.72, -0.96, -0.81, -1.48, -1.45, -0.57, -1.92, -1.17,  0.0,  2.5,  0.0,  0.3,  0.1,  0.1,  6.6,  0.3,  1.3, 65.2, 62.3, 67.4, 70.1, 66.2,  9.8,  9.2, 10.0,  6.4,  8.8, 
1994, 288280, 0.84, 1.30, 0.67, 1.51, 1.58, 0.84, 1.14, 1.44, 1.16, 47.9, 65.4, 37.7, 70.6, 72.8, 48.7, 57.2, 66.1, 58.3, 171.3, 152.0, 152.0, 109.0, 146.1, 38.1, 40.8, 37.0, 32.4, 37.1, 0.64, 1.05, 0.53, 1.08, 0.96, 0.52, 0.90, 0.84, 0.82, 38.9, 55.8, 32.4, 58.1, 53.1, 34.4, 46.4, 47.7, 45.8, 154.7, 137.1, 142.1, 106.6, 135.1, 33.4, 32.4, 32.3, 28.7, 31.7, 
1995, 41539, -1.49, -0.74, -1.07, -0.71, -1.20, -1.01, -0.47, -1.64, -1.04,  0.1,  1.6,  0.2,  0.9,  1.0,  0.3,  2.1,  0.5,  0.8, 76.4, 71.0, 72.3, 73.3, 73.2, 15.6, 10.2,  9.4,  3.1,  9.6, -1.64, -0.95, -1.20, -1.03, -1.85, -1.30, -0.66, -2.16, -1.35,  0.0,  0.5,  0.1,  0.2,  0.2,  0.0,  1.2,  0.1,  0.3, 65.8, 57.6, 63.2, 70.0, 64.2, 11.0,  6.8,  7.4,  2.1,  6.8, 
1996, 234500, -0.84, 0.34, 0.01, 0.43, 0.27, 0.10, 0.62, 0.20, 0.14,  9.5,  9.9,  3.0, 16.8, 17.5, 13.0, 27.9, 17.6, 14.4, 135.5, 121.1, 116.7, 97.8, 117.8, 28.9, 23.7, 20.4, 20.5, 23.4, -1.07, 0.07, -0.16, 0.02, -0.41, -0.22, 0.36, -0.41, -0.23,  6.8,  2.9,  1.9,  1.9,  4.6,  5.7, 19.2,  4.5,  5.9, 118.2, 103.1, 103.4, 94.7, 104.9, 23.8, 16.7, 16.3, 17.0, 18.4, 
1997, 29957, -1.29, -1.00, -1.17, -0.96, -0.69, -1.31, -0.74, -1.34, -1.06,  3.4,  0.2,  0.1,  0.3,  5.5,  3.8,  2.7,  2.9,  2.4, 58.0, 52.8, 51.1, 56.0, 54.4,  8.1,  7.3,  6.9,  3.3,  6.4, -1.50, -1.24, -1.32, -1.28, -1.41, -1.62, -0.94, -1.96, -1.41,  2.9,  0.1,  0.1,  0.1,  1.9,  3.0,  1.8,  1.2,  1.4, 48.8, 41.0, 44.1, 52.4, 46.6,  6.2,  4.6,  5.5,  2.6,  4.7, 
1998, 45333, -1.53, -0.43, -0.85, -0.35, -0.73, -1.00, 0.14, -1.05, -0.72,  2.2, 10.8,  2.3, 12.0,  1.7,  5.6, 20.2,  1.1,  7.0, 115.8, 86.5, 89.6, 71.0, 90.7, 22.5, 16.5, 15.8, 10.5, 16.3, -1.81, -0.71, -1.03, -0.74, -1.48, -1.32, -0.13, -1.73, -1.12,  1.6,  4.5,  1.3,  2.5,  0.0,  3.0, 15.1,  0.1,  3.5, 99.5, 69.8, 78.3, 67.6, 78.8, 18.1, 11.3, 12.4,  8.1, 12.5, 
1999, 194050, -0.59, -0.20, -0.38, -0.18, -0.75, -0.08, -0.22, -0.98, -0.42,  0.8,  8.6,  5.3,  5.9,  0.0,  6.3, 10.1,  0.8,  4.7, 113.8, 114.1, 113.9, 124.4, 116.6, 18.7, 18.4, 18.2, 17.8, 18.3, -0.83, -0.50, -0.55, -0.60, -1.55, -0.51, -0.48, -1.62, -0.83,  0.1,  2.8,  2.8,  0.2,  0.0,  0.5,  5.6,  0.0,  1.5, 93.4, 91.6, 98.1, 119.9, 100.8, 11.5, 11.3, 13.7, 14.0, 12.6, 
2000, 608180, 0.66, 1.04, 0.58, 1.16, 1.31, 0.56, 0.96, 0.96, 0.91, 36.9, 58.1, 30.1, 57.6, 59.4, 29.3, 51.2, 52.9, 46.9, 164.9, 137.2, 139.0, 107.8, 137.2, 32.7, 33.1, 29.9, 26.3, 30.5, 0.43, 0.68, 0.37, 0.63, 0.48, 0.15, 0.64, 0.20, 0.45, 24.4, 35.0, 18.9, 37.4, 31.4,  9.2, 36.1, 30.1, 27.8, 144.6, 116.9, 124.1, 104.0, 122.4, 27.0, 23.8, 24.4, 22.3, 24.4, 
2001, 214360, 0.69, 1.02, 0.73, 1.20, 1.03, 0.76, 0.78, 0.94, 0.89, 46.0, 52.1, 34.5, 65.4, 48.4, 38.4, 40.0, 49.3, 46.8, 156.3, 140.9, 138.3, 122.9, 139.6, 29.0, 29.7, 26.6, 23.6, 27.2, 0.40, 0.64, 0.52, 0.65, 0.20, 0.32, 0.44, 0.13, 0.41, 36.6, 31.8, 27.9, 33.4, 21.1, 21.2, 26.3, 23.2, 27.7, 130.6, 115.7, 120.3, 118.8, 121.4, 22.0, 19.4, 20.4, 18.5, 20.1, 
2002, 795000, 1.19, 1.46, 1.45, 1.70, 1.53, 1.40, 1.33, 1.62, 1.46, 60.8, 69.5, 70.6, 69.6, 60.2, 67.1, 61.7, 58.3, 64.7, 169.6, 152.5, 154.0, 144.5, 155.1, 44.3, 40.8, 37.2, 45.0, 41.8, 0.91, 1.07, 1.21, 1.09, 0.66, 0.93, 0.99, 0.79, 0.96, 49.0, 55.0, 62.9, 51.7, 35.5, 47.9, 51.6, 41.8, 49.4, 149.1, 129.8, 137.3, 139.8, 139.0, 37.3, 30.3, 30.4, 38.3, 34.1, 
2003, 503090, 0.86, 1.36, 1.10, 1.66, 1.27, 1.38, 1.24, 1.62, 1.31, 53.7, 63.5, 60.0, 80.7, 64.1, 72.4, 56.7, 79.5, 66.3, 191.6, 179.3, 177.2, 135.4, 170.9, 35.5, 41.8, 37.9, 43.7, 39.7, 0.55, 0.95, 0.88, 1.05, 0.36, 0.90, 0.87, 0.70, 0.78, 33.1, 44.9, 53.0, 49.1, 13.7, 50.0, 42.3, 36.5, 40.3, 165.8, 152.1, 157.0, 131.7, 151.6, 29.5, 30.8, 30.7, 37.2, 32.1, 
2004, 174960, 0.56, 0.32, 0.31, 0.34, 1.12, -0.23, 0.13, 0.47, 0.38, 35.8, 29.8, 26.2, 30.9, 48.0, 10.3, 21.4, 31.6, 29.3, 85.6, 104.3, 97.6, 91.0, 94.6, 17.9, 22.2, 19.5, 20.8, 20.1, 0.16, -0.05, 0.06, -0.19, 0.13, -0.67, -0.18, -0.40, -0.14, 18.0, 20.2, 21.0, 14.3, 19.7,  4.5, 11.2, 10.3, 14.9, 69.4, 82.0, 83.1, 86.7, 80.3, 13.0, 13.3, 14.5, 16.0, 14.2, 
2005, 212500, -0.66, 0.30, 0.15, 0.42, 0.36, -0.26, 0.43, 0.22, 0.12,  6.5, 16.6, 11.6, 21.1, 13.2,  4.1, 24.6, 14.8, 14.1, 123.5, 116.3, 116.1, 104.2, 115.0, 27.3, 27.1, 23.9, 26.7, 26.3, -1.00, -0.09, -0.09, -0.14, -0.64, -0.71, 0.08, -0.66, -0.40,  2.4,  4.1,  5.6,  3.9,  0.1,  0.4, 14.6,  1.7,  4.1, 103.5, 92.7, 99.9, 99.5, 98.9, 20.5, 18.0, 17.9, 21.9, 19.6, 
2006, 537610, 0.30, 0.81, 1.00, 1.01, 1.25, 0.75, 0.91, 1.19, 0.90, 18.5, 44.4, 55.8, 56.6, 57.1, 42.1, 47.7, 60.1, 47.8, 157.7, 145.9, 136.6, 133.9, 143.5, 35.2, 33.1, 29.1, 44.9, 35.6, 0.07, 0.37, 0.75, 0.39, 0.26, 0.25, 0.53, 0.23, 0.36, 10.6, 19.9, 44.4, 20.6, 20.9, 17.5, 28.7, 21.5, 23.0, 130.6, 119.5, 118.7, 129.6, 124.6, 26.8, 22.0, 22.1, 38.7, 27.4, 
2007, 745960, 0.89, 0.80, 1.07, 0.97, 1.73, 1.00, 0.55, 1.49, 1.06, 54.5, 44.9, 59.9, 51.7, 67.6, 53.1, 32.1, 62.1, 53.2, 130.0, 124.7, 125.7, 131.8, 128.1, 23.0, 30.1, 26.1, 34.7, 28.5, 0.56, 0.34, 0.79, 0.34, 0.66, 0.44, 0.16, 0.46, 0.47, 40.8, 27.5, 50.2, 25.6, 44.7, 34.1, 18.1, 38.5, 34.9, 105.8, 101.0, 106.2, 126.8, 109.9, 17.3, 20.6, 19.6, 28.8, 21.6, 
2008, 444950, 0.53, 0.74, 1.22, 0.96, 0.83, 0.80, 0.68, 1.03, 0.85, 30.2, 33.7, 62.1, 42.3, 36.6, 37.4, 34.1, 44.4, 40.1, 127.8, 137.4, 129.5, 138.8, 133.4, 26.9, 31.7, 28.0, 48.1, 33.7, 0.20, 0.27, 0.92, 0.31, -0.24, 0.22, 0.26, 0.09, 0.25, 17.5, 14.2, 47.6, 14.5, 10.1, 17.4, 19.2, 19.0, 19.9, 100.3, 108.7, 108.0, 134.0, 112.8, 18.6, 20.3, 19.9, 40.5, 24.8, 
2009, 205210, 0.31, 0.45, 0.70, 0.72, 0.96, 0.35, 0.27, 0.81, 0.57, 23.4, 18.5, 34.5, 38.2, 49.5, 19.7, 15.6, 43.2, 30.3, 103.7, 126.5, 109.6, 125.7, 116.4, 19.5, 26.5, 20.9, 29.0, 24.0, -0.05, -0.01, 0.42, 0.08, -0.14, -0.20, -0.12, -0.19, -0.03, 11.5,  2.8, 21.0,  5.2,  5.2,  5.8,  6.8, 11.3,  8.7, 78.2, 96.8, 87.0, 119.5, 95.4, 12.2, 15.9, 14.2, 22.5, 16.2, 
2010, 93965, -0.53, 0.41, 0.23, 0.43, -0.23, -0.39, 0.62, -0.32, 0.03,  5.4, 20.7, 17.3, 27.7,  6.6,  5.0, 29.1,  6.8, 14.8, 139.5, 116.5, 124.2, 105.7, 121.5, 29.3, 26.4, 24.4, 25.2, 26.3, -0.82, -0.06, -0.04, -0.22, -1.40, -0.90, 0.18, -1.25, -0.56,  1.6,  8.9, 12.6,  7.7,  0.0,  1.2, 15.1,  1.2,  6.0, 109.3, 91.1, 102.5, 100.5, 100.8, 19.7, 15.7, 17.1, 18.3, 17.7, 
2011, 430640, -0.90, 0.16, 0.27, 0.63, -0.55, -0.26, 0.38, 0.13, -0.02,  9.7, 21.7, 15.0, 34.7, 11.4, 12.7, 29.6, 19.2, 19.3, 133.2, 124.1, 116.6, 107.0, 120.2, 26.5, 29.9, 23.5, 28.3, 27.1, -1.28, -0.32, -0.02, -0.06, -1.66, -0.77, -0.06, -0.85, -0.63,  7.6,  9.2, 11.8, 12.4,  5.7,  5.0, 16.6,  9.0,  9.7, 104.9, 97.0, 95.4, 101.7, 99.7, 19.2, 19.8, 17.4, 22.7, 19.8, 
2012, 902220, 0.31, 1.75, 1.54, 2.36, 1.97, 1.53, 1.71, 2.36, 1.69, 32.7, 81.5, 72.3, 88.5, 73.4, 67.6, 73.2, 76.2, 70.7, 235.2, 200.3, 191.3, 151.9, 194.7, 53.7, 57.0, 49.0, 58.2, 54.4, -0.03, 1.17, 1.20, 1.49, 0.75, 0.89, 1.18, 1.18, 0.98, 18.3, 57.3, 64.5, 68.1, 37.3, 45.7, 53.7, 58.5, 50.4, 196.2, 166.7, 165.3, 147.5, 168.9, 43.9, 40.9, 38.7, 50.7, 43.6, 
2013, 467840, 0.60, 0.40, 0.58, 0.76, 0.75, 0.09, 0.60, 0.60, 0.55, 39.3, 14.5, 23.8, 33.1, 33.2, 13.8, 25.8, 33.4, 27.1, 132.9, 131.7, 117.0, 112.1, 123.5, 26.3, 33.4, 27.7, 31.4, 29.7, 0.21, -0.11, 0.24, 0.06, -0.50, -0.50, 0.14, -0.54, -0.12, 22.7,  2.4, 11.5,  6.6,  8.4,  5.9,  8.8,  8.6,  9.4, 103.6, 103.9, 97.7, 106.3, 102.9, 18.4, 21.9, 20.1, 25.3, 21.4, 
2014, 390100, 0.25, 0.19, 0.83, 0.61, 0.75, 0.26, 0.24, 0.38, 0.44, 26.9, 14.4, 32.2, 29.2, 40.1, 24.4, 13.7, 27.9, 26.1, 92.7, 124.4, 100.1, 131.0, 112.0, 16.1, 30.2, 22.7, 29.8, 24.7, -0.19, -0.33, 0.48, -0.09, -0.56, -0.40, -0.22, -0.78, -0.26, 15.3,  5.7, 20.6, 11.0, 11.7,  8.4,  5.4, 10.9, 11.1, 64.4, 95.7, 78.6, 122.9, 90.4,  9.7, 19.1, 15.3, 22.7, 16.7, 
2015, 565190, 0.66, 0.38, 0.83, 0.80, 1.48, 0.75, 0.42, 1.07, 0.80, 56.7, 37.8, 46.4, 46.3, 65.5, 53.2, 34.1, 57.1, 49.6, 128.2, 150.2, 124.3, 146.2, 137.2, 23.2, 34.3, 25.7, 33.1, 29.1, 0.22, -0.14, 0.48, 0.06, 0.14, 0.05, -0.05, -0.16, 0.07, 41.1, 25.0, 41.5, 28.5, 35.6, 38.4, 22.5, 24.6, 32.2, 97.9, 115.9, 100.0, 139.6, 113.4, 16.2, 22.4, 18.3, 26.6, 20.9, 
